STATUS | wrapper  | 2022/05/02 14:52:54 | --> Wrapper Started as Console
STATUS | wrapper  | 2022/05/02 14:52:54 | Launching a JVM...
INFO   | jvm 1    | 2022/05/02 14:52:55 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2022/05/02 14:52:55 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2022/05/02 14:52:55 | 
INFO   | jvm 1    | 2022/05/02 14:52:55 | Java Runtime: Oracle Corporation 16.0.1 C:\Program Files\Java\jdk-16.0.1
INFO   | jvm 1    | 2022/05/02 14:52:55 |   Heap sizes: current=1048576k  free=1037312k  max=1048576k
INFO   | jvm 1    | 2022/05/02 14:52:55 |     JVM args: -Dactivemq.home=../.. -Dactivemq.base=../.. -Djavax.net.ssl.keyStorePassword=password -Djavax.net.ssl.trustStorePassword=password -Djavax.net.ssl.keyStore=../../conf/broker.ks -Djavax.net.ssl.trustStore=../../conf/broker.ts -Dcom.sun.management.jmxremote -Dorg.apache.activemq.UseDedicatedTaskRunner=false -Djava.util.logging.config.file=logging.properties -Dactivemq.conf=../../conf -Dactivemq.data=../../data -Djava.security.auth.login.config=../../conf/login.config -Xms1024m -Xmx1024m -Djava.library.path=../../bin/win64 -Dwrapper.key=RwmgUAyH7JltTxFe -Dwrapper.port=32000 -Dwrapper.jvm.port.min=31000 -Dwrapper.jvm.port.max=31999 -Dwrapper.pid=23300 -Dwrapper.version=3.2.3 -Dwrapper.native_library=wrapper -Dwrapper.cpu.timeout=10 -Dwrapper.jvmid=1
INFO   | jvm 1    | 2022/05/02 14:52:55 | Extensions classpath:
INFO   | jvm 1    | 2022/05/02 14:52:55 |   [..\..\lib,..\..\lib\camel,..\..\lib\optional,..\..\lib\web,..\..\lib\extra]
INFO   | jvm 1    | 2022/05/02 14:52:55 | ACTIVEMQ_HOME: ..\..
INFO   | jvm 1    | 2022/05/02 14:52:55 | ACTIVEMQ_BASE: ..\..
INFO   | jvm 1    | 2022/05/02 14:52:55 | ACTIVEMQ_CONF: ..\..\conf
INFO   | jvm 1    | 2022/05/02 14:52:55 | ACTIVEMQ_DATA: ..\..\data
INFO   | jvm 1    | 2022/05/02 14:52:58 | Loading message broker from: xbean:activemq.xml
INFO   | jvm 1    | 2022/05/02 14:52:59 |  INFO | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Data\Fulda\PersonalJavaProjects\SpringBootJMS_ActiveMQ\apache-activemq-5.17.1-bin\apache-activemq-5.17.1\bin\win64\..\..\data\kahadb]
INFO   | jvm 1    | 2022/05/02 14:52:59 |  INFO | PListStore:[C:\Data\Fulda\PersonalJavaProjects\SpringBootJMS_ActiveMQ\apache-activemq-5.17.1-bin\apache-activemq-5.17.1\bin\win64\..\..\data\localhost\tmp_storage] started
INFO   | jvm 1    | 2022/05/02 14:52:59 |  INFO | Apache ActiveMQ 5.17.1 (localhost, ID:LAPTOP-E8EMJVSE-58739-1651495979617-0:1) is starting
INFO   | jvm 1    | 2022/05/02 14:52:59 |  INFO | Listening for connections at: tcp://LAPTOP-E8EMJVSE:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2022/05/02 14:52:59 |  INFO | Connector openwire started
INFO   | jvm 1    | 2022/05/02 14:52:59 |  INFO | Listening for connections at: amqp://LAPTOP-E8EMJVSE:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2022/05/02 14:52:59 |  INFO | Connector amqp started
INFO   | jvm 1    | 2022/05/02 14:52:59 |  INFO | Listening for connections at: stomp://LAPTOP-E8EMJVSE:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2022/05/02 14:52:59 |  INFO | Connector stomp started
INFO   | jvm 1    | 2022/05/02 14:52:59 |  INFO | Listening for connections at: mqtt://LAPTOP-E8EMJVSE:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2022/05/02 14:52:59 |  INFO | Connector mqtt started
INFO   | jvm 1    | 2022/05/02 14:52:59 |  INFO | Starting Jetty server
INFO   | jvm 1    | 2022/05/02 14:52:59 |  INFO | Creating Jetty connector
INFO   | jvm 1    | 2022/05/02 14:52:59 |  WARN | ServletContext@o.e.j.s.ServletContextHandler@74352174{/,null,STARTING} has uncovered http methods for path: /
INFO   | jvm 1    | 2022/05/02 14:52:59 |  INFO | Listening for connections at ws://LAPTOP-E8EMJVSE:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2022/05/02 14:52:59 |  INFO | Connector ws started
INFO   | jvm 1    | 2022/05/02 14:52:59 |  INFO | Apache ActiveMQ 5.17.1 (localhost, ID:LAPTOP-E8EMJVSE-58739-1651495979617-0:1) started
INFO   | jvm 1    | 2022/05/02 14:52:59 |  INFO | For help or more information please see: http://activemq.apache.org
INFO   | jvm 1    | 2022/05/02 14:53:00 |  INFO | ActiveMQ WebConsole available at http://127.0.0.1:8161/
INFO   | jvm 1    | 2022/05/02 14:53:00 |  INFO | ActiveMQ Jolokia REST API available at http://127.0.0.1:8161/api/jolokia/
